ClinicID,ClinicName,ClinicLocation,DoctorID,DoctorsName,DoctorsSurname,DoctorsType,DoctorsCostOfAdmission,AppointmentsDay,AppointmentsTime,PatientID,PatientName,PatientSurname,PatientEmail,PatientContactNumber
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,24,08:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,24,09:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,24,10:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,24,11:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,24,12:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,24,13:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,24,14:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,24,15:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,24,16:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,25,08:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,25,09:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,25,10:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,25,11:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,25,12:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,25,13:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,25,14:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,25,15:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,25,16:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,26,08:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,26,09:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,26,10:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,26,11:00,0,null,null,example@gmail.com,example@gmail.com
14311554,Central Family Clinic,"123 Main Street, Anytown, CA 12345",1234,Alice,Johnson,Neurologist,100.0,26,12:00,0,null,null,example@gmail.com,example@gmail.com
